y_word,pos,neut,y_animacy,x_first
жизнь,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
отдых,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
отдых,0,0,0,1
отдых,0,0,0,1
отдых,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
отдых,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
отдых,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
отдых,0,0,0,1
отдых,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
жизнь,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
работа,0,0,0,1
человек,0,0,1,1
женщина,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
женщина,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
ребенок,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,0,1,1
человек,0,1,1,1
женщина,0,1,1,1
женщина,0,1,1,1
человек,0,1,1,1
человек,0,1,1,1
ребенок,0,1,1,1
человек,0,1,1,1
женщина,0,1,1,1
человек,0,1,1,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
жизнь,1,0,0,1
жизнь,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
жизнь,1,0,0,1
жизнь,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
жизнь,1,0,0,1
работа,1,0,0,1
жизнь,1,0,0,1
жизнь,1,0,0,1
работа,1,0,0,1
жизнь,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
работа,1,0,0,1
человек,1,0,1,1
человек,1,0,1,1
человек,1,0,1,1
человек,1,0,1,1
человек,1,0,1,1
ребенок,1,0,1,1
женщина,1,0,1,1
женщина,1,0,1,1
человек,1,0,1,1
ребенок,1,0,1,1
человек,1,0,1,1
женщина,1,0,1,1
человек,1,0,1,1
человек,1,0,1,1
женщина,1,0,1,1
ребенок,1,0,1,1
человек,1,0,1,1
